name,alias,tlb,category,opcode,fift_asm,stack,gas,desc,tvm_asm
NOP,,#00,stack_basic,00,NOP,-,18,Does nothing.,
SWAP,XCHG_0I,#01,stack_basic,01,SWAP,x y - y x,18,Same as `s1 XCHG0`.,
XCHG_0I,,#0 i:(## 4) {1 <= i},stack_basic,0i,s[i] XCHG0,,18,"Interchanges `s0` with `s[i]`, `1 <= i <= 15`.",
XCHG_IJ,,#10 i:(## 4) j:(## 4) {1 <= i} {i + 1 <= j},stack_basic,10ij,s[i] s[j] XCHG,,26,"Interchanges `s[i]` with `s[j]`, `1 <= i < j <= 15`.",
XCHG_0I_LONG,,#11 ii:uint8,stack_basic,11ii,s0 [ii] s() XCHG,,26,"Interchanges `s0` with `s[ii]`, `0 <= ii <= 255`.",
XCHG_1I,,#1 i:(## 4) {2 <= i},stack_basic,1i,s1 s[i] XCHG,,18,"Interchanges `s1` with `s[i]`, `2 <= i <= 15`.",
PUSH,,#2 i:uint4,stack_basic,2i,s[i] PUSH,,18,Pushes a copy of the old `s[i]` into the stack.,
DUP,PUSH,#20,stack_basic,20,DUP,x - x x,18,Same as `s0 PUSH`.,0x20
OVER,PUSH,#21,stack_basic,21,OVER,x y - x y x,18,Same as `s1 PUSH`.,0x21
POP,,#3 i:uint4,stack_basic,3i,s[i] POP,,18,Pops the old `s0` value into the old `s[i]`.,
DROP,POP,#30,stack_basic,30,DROP,x -,18,"Same as `s0 POP`, discards the top-of-stack value.",0x30
NIP,POP,#31,stack_basic,31,NIP,x y - y,18,Same as `s1 POP`.,0x31
XCHG3,,#4 i:uint4 j:uint4 k:uint4,stack_complex,4ijk,s[i] s[j] s[k] XCHG3,,26,Equivalent to `s2 s[i] XCHG` `s1 s[j] XCHG` `s[k] XCHG0`.,"s1 = parse_stack_register_u4
s2 = parse_stack_register_u4;
s3 = parse_stack_register_u4     
     => 0x40 | s1, (s2 << 4) | s3"
XCHG2,,#50 i:uint4 j:uint4,stack_complex,50ij,s[i] s[j] XCHG2,,26,Equivalent to `s1 s[i] XCHG` `s[j] XCHG0`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4 
     => 0x50, (s1 << 4) | s2"
XCPU,,#51 i:uint4 j:uint4,stack_complex,51ij,s[i] s[j] XCPU,,26,Equivalent to `s[i] XCHG0` `s[j] PUSH`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4     
     => 0x51, (s1 << 4) | s2"
PUXC,,#52 i:uint4 j:uint4,stack_complex,52ij,s[i] s[j-1] PUXC,,26,Equivalent to `s[i] PUSH` `SWAP` `s[j] XCHG0`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4_minus_one
                                             => 0x52, (s1 << 4) | s2"
PUSH2,,#53 i:uint4 j:uint4,stack_complex,53ij,s[i] s[j] PUSH2,,26,Equivalent to `s[i] PUSH` `s[j+1] PUSH`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4
     => 0x53, (s1 << 4) | s2"
XCHG3_ALT,,#540 i:uint4 j:uint4 k:uint4,stack_complex,540ijk,s[i] s[j] s[k] XCHG3_l,,34,Long form of `XCHG3`.,"0x , 0x"
XC2PU,,#541 i:uint4 j:uint4 k:uint4,stack_complex,541ijk,s[i] s[j] s[k] XC2PU,,34,Equivalent to `s[i] s[j] XCHG2` `s[k] PUSH`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4;
s3 = parse_stack_register_u4
     => 0x54, 0x10 | s1, (s2 << 4) | s3"
XCPUXC,,#542 i:uint4 j:uint4 k:uint4,stack_complex,542ijk,s[i] s[j] s[k-1] XCPUXC,,34,Equivalent to `s1 s[i] XCHG` `s[j] s[k-1] PUXC`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4;
s3 = parse_stack_register_u4_minus_one                                            
      => 0x54, 0x20 | s1, (s2 << 4) | s3"
XCPU2,,#543 i:uint4 j:uint4 k:uint4,stack_complex,543ijk,s[i] s[j] s[k] XCPU2,,34,Equivalent to `s[i] XCHG0` `s[j] s[k] PUSH2`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4;
s3 = parse_stack_register_u4
     => 0x54, 0x30 | s1, (s2 << 4) | s3"
PUXC2,,#544 i:uint4 j:uint4 k:uint4,stack_complex,544ijk,s[i] s[j-1] s[k-1] PUXC2,,34,Equivalent to `s[i] PUSH` `s2 XCHG0` `s[j] s[k] XCHG2`.,"0x , 0x"
PUXCPU,,#545 i:uint4 j:uint4 k:uint4,stack_complex,545ijk,s[i] s[j-1] s[k-1] PUXCPU,,34,Equivalent to `s[i] s[j-1] PUXC` `s[k] PUSH`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4_minus_one;
s3 = parse_stack_register_u4_minus_one
     => 0x54, 0x50 | s1, (s2 << 4) | s3"
PU2XC,,#546 i:uint4 j:uint4 k:uint4,stack_complex,546ijk,s[i] s[j-1] s[k-2] PU2XC,,34,Equivalent to `s[i] PUSH` `SWAP` `s[j] s[k-1] PUXC`.,"s1 = parse_stack_register_u4;
s2 = parse_stack_register_u4_minus_one;
s3 = parse_stack_register_u4_minus_two                                        
     => 0x54, 0x60 | s1, (s2 << 4) | s3"
PUSH3,,#547 i:uint4 j:uint4 k:uint4,stack_complex,547ijk,s[i] s[j] s[k] PUSH3,,34,Equivalent to `s[i] PUSH` `s[j+1] s[k+1] PUSH2`.,"0x , 0x"
BLKSWAP,,#55 i:uint4 j:uint4,stack_complex,55ij,[i+1] [j+1] BLKSWAP,,26,"Permutes two blocks `s[j+i+1] … s[j+1]` and `s[j] … s0`.
`0 <= i,j <= 15`
Equivalent to `[i+1] [j+1] REVERSE` `[j+1] 0 REVERSE` `[i+j+2] 0 REVERSE`.","c1 = parse_const_u4_plus_one;
c2 = parse_const_u4_plus_one 
     => 0x55, (c1 << 4) | c2"
ROT2,BLKSWAP,#5513,stack_complex,5513,"ROT2
2ROT",a b c d e f - c d e f a b,26,Rotates the three topmost pairs of stack entries.,"0x55, 0x13"
ROLL,BLKSWAP,#550 i:uint4,stack_complex,550i,[i+1] ROLL,,26,"Rotates the top `i+1` stack entries.
Equivalent to `1 [i+1] BLKSWAP`.","c = parse_const_u4_plus_one  
   => 0x55, c"
ROLLREV,BLKSWAP,#55 i:uint4 zero:(## 4) {zero = 0},stack_complex,55i0,"[i+1] -ROLL
[i+1] ROLLREV",,26,"Rotates the top `i+1` stack entries in the other direction.
Equivalent to `[i+1] 1 BLKSWAP`.","c = parse_const_u4_plus_one
   => 0x55, c << 4"
PUSH_LONG,,#56 ii:uint8,stack_complex,56ii,[ii] s() PUSH,,26,"Pushes a copy of the old `s[ii]` into the stack.
`0 <= ii <= 255`",
POP_LONG,,#57 ii:uint8,stack_complex,57ii,[ii] s() POP,,26,"Pops the old `s0` value into the old `s[ii]`.
`0 <= ii <= 255`","0x , 0x"
ROT,,#58,stack_complex,58,ROT,a b c - b c a,18,Equivalent to `1 2 BLKSWAP` or to `s2 s1 XCHG2`.,0x58
ROTREV,,#59,stack_complex,59,"ROTREV
-ROT",a b c - c a b,18,Equivalent to `2 1 BLKSWAP` or to `s2 s2 XCHG2`.,0x59
